Year,Growth rate,Population,,,,
1950,1.73, 2 481 591,,,,
1951,1.74, 2 524 572,,,,
1952,1.93, 2 568 576,,,,
1953,1.90, 2 618 123,,,,
1954,1.98, 2 667 763,,,,
1955,2.00, 2 720 638,,,,
1956,1.96, 2 774 969,,,,
1957,2.05, 2 829 470,,,,
1958,1.98, 2 887 587,,,,
1959,1.70, 2 944 790,,,,
1960,1.57, 2 994 940,,,,
1961,1.66, 3 041 841,,,,
1962,2.10, 3 092 396,,,,
1963,2.27, 3 157 336,,,,
1964,2.15, 3 229 008,,,,
1965,2.08, 3 298 528,,,,
1966,2.03, 3 367 204,,,,
1967,1.98, 3 435 558,,,,
1968,2.08, 3 503 685,,,,
1969,2.04, 3 576 597,,,,
1970,2.05, 3 649 595,,,,
1971,1.96, 3 724 229,,,,
1972,1.96, 3 797 299,,,,
1973,1.93, 3 871 688,,,,
1974,1.88, 3 946 334,,,,
1975,1.79, 4 020 367,,,,
1976,1.77, 4 092 372,,,,
1977,1.74, 4 164 725,,,,
1978,1.74, 4 237 150,,,,
1979,1.77, 4 310 707,,,,
1980,1.79, 4 387 092,,,,
1981,1.81, 4 465 534,,,,
1982,1.84, 4 546 226,,,,
1983,1.77, 4 630 058,,,,
1984,1.78, 4 711 825,,,,
1985,1.78, 4 795 743,,,,
1986,1.82, 4 881 299,,,,
1987,1.82, 4 969 992,,,,
1988,1.77, 5 060 595,,,,
1989,1.76, 5 150 015,,,,
1990,1.75, 5 240 810,,,,
1991,1.62, 5 332 315,,,,
1992,1.56, 5 418 432,,,,
1993,1.51, 5 502 851,,,,
1994,1.46, 5 585 669,,,,
1995,1.43, 5 667 219,,,,
1996,1.40, 5 748 431,,,,
1997,1.37, 5 828 909,,,,
1998,1.35, 5 908 998,,,,
1999,1.33, 5 988 474,,,,
2000,1.33, 6 067 821,,,,
2001,1.31, 6 148 645,,,,
2002,1.29, 6 229 376,,,,
2003,1.27, 6 309 860,,,,
2004,1.27, 6 390 247,,,,
2005,1.26, 6 471 404,,,,
2006,1.26, 6 552 879,,,,
2007,1.27, 6 635 641,,,,
2008,1.26, 6 719 649,,,,
2009,1.27, 6 804 585,,,,
2010,1.25, 6 890 663,,,,
2011,1.24, 6 976 796,,,,
2012,1.25, 7 063 309,,,,
2013,1.22, 7 151 459,,,,
2014,1.21, 7 238 635,,,,
2015,1.17, 7 325 861,,,,
2016,1.16, 7 411 427,,,,
2017,1.13, 7 497 251,,,,
2018,1.07, 7 581 745,,,,
2019,1.03, 7 662 945,,,,
2020,0.92, 7 741 950,,,,
2021,0.82, 7 813 021,,,,
2022,0.84, 7 876 932,,,,
2023,0.91,7943019.459,,,,
2024,0.91,8015618.657,,,,
2025,0.89,8088240.162,,,,
2026,0.87,8160063.735,,,,
2027,0.86,8231137.89,,,,
2028,0.84,8301514.119,,,,
2029,0.82,8371080.807,,,,
2030,0.81,8439891.092,,,,
2031,0.79,8507832.215,,,,
2032,0.77,8574959.011,,,,
2033,0.76,8641329.194,,,,
2034,0.74,8706744.056,,,,
2035,0.73,8771261.029,,,,
2036,0.71,8834852.672,,,,
2037,0.69,8897403.429,,,,
2038,0.68,8958973.46,,,,
2039,0.66,9019625.711,,,,
2040,0.64,9079065.044,,,,
2041,0.63,9137352.642,,,,
2042,0.61,9194552.469,,,,
2043,0.59,9250455.348,,,,
2044,0.57,9305125.539,,,,
2045,0.55,9358350.858,,,,
2046,0.54,9410102.538,,,,
2047,0.52,9460446.586,,,,
2048,0.50,9509167.886,,,,
2049,0.47,9556238.267,,,,
2050,0.45,9601534.837,,,,
2051,0.43,9645125.805,,,,
2052,0.42,9686889.2,,,,
2053,0.40,9727089.79,,,,
2054,0.38,9765511.794,,,,
2055,0.36,9802327.774,,,,
2056,0.34,9837518.131,,,,
2057,0.33,9871162.443,,,,
2058,0.31,9903441.144,,,,
2059,0.30,9934240.846,,,,
2060,0.28,9963546.856,,,,
2061,0.27,9991644.058,,,,
2062,0.26,10018621.5,,,,
2063,0.25,10044569.73,,,,
2064,0.24,10069379.81,,,,
2065,0.22,10093244.24,,,,
2066,0.21,10115853.11,,,,
2067,0.20,10137399.88,,,,
2068,0.19,10158080.17,,,,
2069,0.18,10177583.69,,,,
2070,0.17,10196106.89,,,,
2071,0.16,10213440.27,,,,
2072,0.15,10229679.64,,,,
2073,0.14,10244921.87,,,,
2074,0.13,10259059.86,,,,
2075,0.11,10271986.27,,,,
2076,0.10,10283696.34,,,,
2077,0.09,10294185.71,,,,
2078,0.08,10303347.53,,,,
2079,0.07,10311384.14,,,,
2080,0.06,10318292.77,,,,
2081,0.05,10324071.01,,,,
2082,0.04,10328716.85,,,,
2083,0.03,10332331.9,,,,
2084,0.02,10335018.3,,,,
2085,0.01,10336775.26,,,,
2086,-0.00,10337498.83,,,,
2087,-0.01,10337292.08,,,,
2088,-0.02,10336258.35,,,,
2089,-0.03,10334501.19,,,,
2090,-0.03,10331814.22,,,,
2091,-0.04,10328404.72,,,,
2092,-0.05,10324066.79,,,,
2093,-0.06,10319111.24,,,,
2094,-0.06,10313229.34,,,,
2095,-0.07,10306732.01,,,,
2096,-0.08,10299414.23,,,,
2097,-0.09,10291277.69,,,,
2098,-0.10,10282324.28,,,,
2099,-0.10,10272556.07,,,,
2100,-0.11,10262078.07,,,,
,,,,,,